Fee-Earnings reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
シューズ、バッグ、財布、サングラス,コールマン(Coleman) ウォーカーポーチ メンズ レディース ユニセックス ウエストバッグ ショルダーバッグ 2WAY 2L,B082X322NL,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,2248.00,1,0,2248.0,8.01,180.00,PHONE
ビューティー&グルーミング,UNO(ウーノ) バイタルクリームパーフェクション【医薬部外品】 オールインワン 90g 保湿 エイジングケア シミ シワ 予防 メンズ スキンケア 化粧水 乳液 乾燥,B07WXBGS1X,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,982.00,1,0,982.0,4.99,49.00,PHONE
Kindle書籍,スクライド　1 (少年チャンピオン・コミックス),B09P53312P,3rd Party,daily-gadget-22,2025-12-20 00:00:00,430.00,1,0,430.0,10.00,43.00,DESKTOP
スポーツ&フィットネス,シーガー(Seaguar) ライン PEライン シーガー PE X8 釣り用PEライン 200m 1号 20lb(9.1kg) マルチ,B06WV9LH4N,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,1463.00,1,0,1463.0,4.03,59.00,PHONE
ビジネス&産業用品,中央化学(Chuo Kagaku) Pカップ 100枚入,B005KP5PQ4,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,787.00,1,0,787.0,3.94,31.00,TABLET
ビジネス&産業用品,中央化学 CF カップ 95-270 身 味噌汁 100枚入,B0753935MP,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,1720.00,1,0,1720.0,4.01,69.00,TABLET
電子部品&ホームオーディオ,ロジクール KX850FT MX MECHANICAL ワイヤレス メカニカル パフォーマンス キーボード 茶軸 タクタイル テンキー 静かな打鍵感 特に静か Logi Bolt bluetooth Unifying非対応 薄型 無線 メカニカルキーボード windows mac chrome An,B0B1Q636K7,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,16777.00,1,0,16777.0,2.00,336.00,DESKTOP
スポーツ&フィットネス,namelessage(ネームレスエイジ) レインコート 自転車 上下 カッパ メンズ レディース NASR-100 シーグリーン XXL レインスーツ レインコート カッパ,B09532WT4G,3rd Party,daily-gadget-22,2025-12-20 00:00:00,8173.00,1,0,8173.0,4.00,327.00,PHONE
ヘルスケア&家庭用品,オリヒロアルギニン1000+亜鉛,B0744MTTL1,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,1460.00,1,0,1460.0,5.00,73.00,PHONE
電子部品&ホームオーディオ,エレコム 電源タップ USBタップ 30W 3ポート Type-C USB-A 6個口 1m 一括スイッチ 回転脚付き 雷ガード付き ホワイト ECT-3910WH,B0F449DWGV,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,3627.00,1,0,3627.0,2.01,73.00,PHONE
